Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-29,50.0,60.0,50.0,60.0,579810954,0.0,0.0
2023-11-30,64.3,68.9,60.55,65.3,391471914,0.0,0.0
2023-12-01,67.0,68.4,62.3,62.75,144125388,0.0,0.0
2023-12-04,64.9,65.9,63.15,64.55,59388902,0.0,0.0
2023-12-05,64.9,65.0,62.85,63.05,36397214,0.0,0.0
2023-12-06,63.5,64.95,61.5,64.15,47249714,0.0,0.0
2023-12-07,64.15,64.85,63.45,64.2,23388127,0.0,0.0
2023-12-08,64.2,73.7,64.2,70.85,232352550,0.0,0.0
2023-12-11,74.0,85.0,73.4,85.0,193564938,0.0,0.0
2023-12-12,94.0,102.0,92.55,101.85,352556081,0.0,0.0
2023-12-13,104.6,112.0,98.9,112.0,200767357,0.0,0.0
2023-12-14,121.3,123.2,113.8,120.3,233953872,0.0,0.0
2023-12-15,120.4,121.0,108.3,108.3,107529568,0.0,0.0
2023-12-18,102.0,114.2,98.3,110.75,167648627,0.0,0.0
2023-12-19,113.0,116.2,111.35,112.45,47989953,0.0,0.0
2023-12-20,114.0,114.7,103.3,104.95,54934849,0.0,0.0
2023-12-21,102.0,111.25,100.0,109.9,50301973,0.0,0.0
2023-12-22,111.3,111.8,108.25,109.85,25157149,0.0,0.0
2023-12-26,103.85,105.75,100.35,101.95,98548301,0.0,0.0
2023-12-27,104.0,104.35,97.35,99.8,55795339,0.0,0.0
2023-12-28,99.85,100.7,95.55,97.3,51912306,0.0,0.0
2023-12-29,97.5,105.65,96.0,102.8,85731200,0.0,0.0
2024-01-01,103.35,107.55,102.1,104.65,49275011,0.0,0.0
2024-01-02,105.3,105.4,101.75,103.5,23688907,0.0,0.0
2024-01-03,103.5,103.55,100.2,101.8,24148229,0.0,0.0
2024-01-04,102.7,106.25,102.45,104.4,37518306,0.0,0.0
2024-01-05,105.0,107.25,104.0,105.1,32759854,0.0,0.0
2024-01-08,105.8,106.3,103.15,103.9,22377695,0.0,0.0
2024-01-09,104.7,104.85,102.6,103.3,14941191,0.0,0.0
2024-01-10,103.5,103.8,101.2,102.8,14828774,0.0,0.0
2024-01-11,103.4,106.4,103.0,103.4,19177567,0.0,0.0
2024-01-12,104.3,112.5,103.8,110.75,82669666,0.0,0.0
2024-01-15,110.75,110.75,110.75,110.75,0,0.0,0.0
2024-01-16,125.0,127.4,116.75,119.5,109786020,0.0,0.0
2024-01-17,118.55,125.6,114.3,124.2,81578431,0.0,0.0
2024-01-18,125.0,126.4,116.0,123.05,55701971,0.0,0.0
2024-01-19,124.2,135.35,123.7,135.35,111113228,0.0,0.0
2024-01-23,156.25,156.25,144.1,154.05,120793026,0.0,0.0
2024-01-24,157.5,161.75,148.55,161.75,73799763,0.0,0.0
2024-01-25,167.0,169.8,166.0,169.8,9149447,0.0,0.0
